clauseId,articleId,regulationId,number,summary,description,obligatedParty,obligationType,normativeIntensity,applicable,applicabilityReason,sourceReference,crossReferences
GDPR-C01,GDPR-Art5,GDPR,,Data Minimization,"Data minimization principle: only data adequate, relevant and limited to what is necessary",CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C02,GDPR-Art5,GDPR,,Retention & Archiving,Purpose limitation and storage limitation: data not kept longer than necessary for purpose,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C03,GDPR-Art5,GDPR,,Retention & Archiving,Storage limitation: personal data kept in identifiable form no longer than necessary,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C04,GDPR-Art5,GDPR,,Data at Rest Encryption,Integrity & confidentiality principle: protection against unauthorised access to stored data,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C05,GDPR-Art5,GDPR,,Data Integrity Mechanisms,"Integrity & confidentiality principle: protection against accidental loss, destruction or damage",CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C06,GDPR-Art7,GDPR,,Right to Erasure,Right to erasure ('right to be forgotten'): controller must erase personal data on request,CONTROLLER,TRIGGERED,3,YES,,,
GDPR-C07,GDPR-Art20,GDPR,,Data Portability,"Right to data portability: data subject receives data in structured, machine-readable format",CONTROLLER,TRIGGERED,3,YES,,,
GDPR-C08,GDPR-Art24,GDPR,,Information Security Policies,Controller responsibility: implement appropriate technical and organisational measures; document policies,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C09,GDPR-Art5,GDPR,,Secure-by-Design Principles,Data protection by design: integrate data protection measures into processing design from the outset,CONTROLLER,ONE_TIME,2,YES,,,
GDPR-C10,GDPR-Art5,GDPR,,Authorization & Least Privilege,Data protection by default: only process data necessary for each specific purpose; restrict access accordingly,CONTROLLER,ONE_TIME,2,YES,,,
GDPR-C11,GDPR-Art28,GDPR,,Vendor Risk Assessment,Processor obligations: controller uses only processors providing sufficient guarantees,CONTROLLER,ONE_TIME,2,YES,,,
GDPR-C12,GDPR-Art28,GDPR,,Contractual Security Obligations,Data Processing Agreement: mandatory contractual clauses binding the processor to security obligations,CONTROLLER,ONE_TIME,2,YES,,,
GDPR-C13,GDPR-Art30,GDPR,,Records of Processing,Records of processing activities: controller and processor maintain written records of all processing,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C14,GDPR-Art32,GDPR,,Data at Rest Encryption,Encryption of personal data at rest as an appropriate technical security measure,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C15,GDPR-Art32,GDPR,,Data in Transit Encryption,Pseudonymisation and encryption of personal data in transit as appropriate measure,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C16,GDPR-Art32,GDPR,,Data Restoration & Recovery,Ability to ensure ongoing availability and resilience; restore data after incident,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C17,GDPR-Art32,GDPR,,Authorization & Least Privilege,Ongoing confidentiality and integrity of processing systems: restrict access to authorised personnel only,CONTROLLER,CONTINUOUS,3,YES,,,
GDPR-C18,GDPR-Art32,GDPR,,Containment & Mitigation,Ability to restore availability and access to personal data in a timely manner after incident,CONTROLLER,TRIGGERED,3,YES,,,
GDPR-C19,GDPR-Art32,GDPR,,Compliance Testing,"Regular testing, assessing and evaluating effectiveness of technical and organisational measures",CONTROLLER,PERIODIC,2,YES,,,
GDPR-C20,GDPR-Art32,GDPR,,Impact & Risk Assessments,Risk assessment prior to implementing security measures: consider risks of accidental/unlawful destruction,CONTROLLER,PERIODIC,2,YES,,,
GDPR-C21,GDPR-Art33,GDPR,,Regulatory Notification,Breach notification to supervisory authority within 72 hours of becoming aware,CONTROLLER,TRIGGERED,3,YES,,,
GDPR-C22,GDPR-Art33,GDPR,,Records of Processing,"Documentation of all personal data breaches, including facts, effects and remedial action taken",CONTROLLER,TRIGGERED,3,YES,,,
