clauseId,subDomainId,weight,source
GDPR-C01,D-05.1,1.0,PHASE1_MAPPING
GDPR-C02,D-05.3,1.0,PHASE1_MAPPING
GDPR-C03,D-05.3,1.0,PHASE1_MAPPING
GDPR-C04,D-01.1,1.0,PHASE1_MAPPING
GDPR-C05,D-01.4,1.0,PHASE1_MAPPING
GDPR-C06,D-05.4,1.0,PHASE1_MAPPING
GDPR-C07,D-05.4,1.0,PHASE1_MAPPING
GDPR-C08,D-09.1,1.0,PHASE1_MAPPING
GDPR-C09,D-01.3,1.0,PHASE1_MAPPING
GDPR-C10,D-03.2,1.0,PHASE1_MAPPING
GDPR-C11,D-06.1,1.0,PHASE1_MAPPING
GDPR-C12,D-06.3,1.0,PHASE1_MAPPING
GDPR-C13,D-09.4,1.0,PHASE1_MAPPING
GDPR-C14,D-01.1,1.0,PHASE1_MAPPING
GDPR-C15,D-01.2,1.0,PHASE1_MAPPING
GDPR-C16,D-04.4,1.0,PHASE1_MAPPING
GDPR-C17,D-03.2,1.0,PHASE1_MAPPING
GDPR-C18,D-04.2,1.0,PHASE1_MAPPING
GDPR-C19,D-10.3,1.0,PHASE1_MAPPING
GDPR-C20,D-09.2,1.0,PHASE1_MAPPING
GDPR-C21,D-04.3,1.0,PHASE1_MAPPING
GDPR-C22,D-09.4,1.0,PHASE1_MAPPING
GDPR-C23,D-04.3,1.0,PHASE1_MAPPING
GDPR-C24,D-09.2,1.0,PHASE1_MAPPING
GDPR-C25,D-09.1,1.0,PHASE1_MAPPING
GDPR-C26,D-09.1,1.0,PHASE1_MAPPING
GDPR-C27,D-08.1,1.0,PHASE1_MAPPING
GDPR-C28,D-08.2,1.0,PHASE1_MAPPING
CRA-C01,D-02.1,1.0,PHASE1_MAPPING
CRA-C02,D-07.1,1.0,PHASE1_MAPPING
CRA-C03,D-03.4,1.0,PHASE1_MAPPING
CRA-C04,D-02.2,1.0,PHASE1_MAPPING
CRA-C05,D-03.1,1.0,PHASE1_MAPPING
CRA-C06,D-03.3,1.0,PHASE1_MAPPING
CRA-C07,D-01.1,1.0,PHASE1_MAPPING
CRA-C08,D-01.2,1.0,PHASE1_MAPPING
CRA-C09,D-01.4,1.0,PHASE1_MAPPING
CRA-C10,D-05.1,1.0,PHASE1_MAPPING
CRA-C11,D-04.2,1.0,PHASE1_MAPPING
CRA-C12,D-10.1,1.0,PHASE1_MAPPING
CRA-C13,D-04.1,1.0,PHASE1_MAPPING
CRA-C14,D-10.2,1.0,PHASE1_MAPPING
CRA-C15,D-01.3,1.0,PHASE1_MAPPING
CRA-C16,D-05.4,1.0,PHASE1_MAPPING
CRA-C17,D-02.1,1.0,PHASE1_MAPPING
CRA-C18,D-06.3,1.0,PHASE1_MAPPING
CRA-C19,D-02.2,1.0,PHASE1_MAPPING
CRA-C20,D-10.3,1.0,PHASE1_MAPPING
CRA-C21,D-02.4,1.0,PHASE1_MAPPING
CRA-C22,D-07.1,1.0,PHASE1_MAPPING
CRA-C23,D-09.2,1.0,PHASE1_MAPPING
CRA-C24,D-09.1,1.0,PHASE1_MAPPING
CRA-C25,D-04.3,1.0,PHASE1_MAPPING
CRA-C26,D-02.4,1.0,PHASE1_MAPPING
NIS2-C01,D-09.1,1.0,PHASE1_MAPPING
NIS2-C02,D-08.3,1.0,PHASE1_MAPPING
NIS2-C03,D-09.1,1.0,PHASE1_MAPPING
NIS2-C04,D-09.2,1.0,PHASE1_MAPPING
NIS2-C05,D-04.2,1.0,PHASE1_MAPPING
NIS2-C06,D-04.4,1.0,PHASE1_MAPPING
NIS2-C07,D-04.4,1.0,PHASE1_MAPPING
NIS2-C08,D-06.1,1.0,PHASE1_MAPPING
NIS2-C09,D-06.3,1.0,PHASE1_MAPPING
NIS2-C10,D-07.1,1.0,PHASE1_MAPPING
NIS2-C11,D-07.3,1.0,PHASE1_MAPPING
NIS2-C12,D-02.1,1.0,PHASE1_MAPPING
