controlId,categoryId,title,description
GV.OC-01,GV,Organizational Context,"The organizational mission is understood and informs cybersecurity risk management"
GV.OC-02,GV,Internal/External Context,"Internal and external stakeholders are understood and inform cybersecurity risk management"
GV.RM-01,GV,Risk Management Strategy,"Risk management strategy is established and informs cybersecurity risk management"
GV.RM-02,GV,Risk Appetite/Tolerance,"Risk appetite and tolerance statements are established and communicated"
GV.RM-03,GV,Strategic Direction,"Strategic direction for cybersecurity risk management is established and communicated"
GV.RM-04,GV,Legal/Regulatory Requirements,"Legal and regulatory requirements for cybersecurity are understood and managed"
GV.RM-05,GV,Roles and Responsibilities,"Cybersecurity roles and responsibilities are established and communicated"
GV.RM-06,GV,Cybersecurity Budget,"Cybersecurity budget and resources are aligned with risk management strategy"
GV.RM-07,GV,Improvement,"Cybersecurity improvements are identified and implemented"
GV.RM-08,GV,Policies/Procedures,"Cybersecurity policies and procedures are established and reviewed"
GV.SC-01,GV,Supply Chain Risk Management,"Supply chain risk management is established and performed"
GV.SC-02,GV,Supply Chain Controls,"Cybersecurity controls for supply chain are established and implemented"
GV.SC-03,GV,Supply Chain Agreements,"Agreements with suppliers include cybersecurity requirements"
GV.SC-04,GV,Supply Chain Risk Response,"Cybersecurity risk response to supply chain risks is performed"
GV.AM-01,GV,Asset Management,"Assets are inventoried and managed"
ID.AM-01,ID,Inventories of Hardware,"Hardware assets are inventoried and managed"
ID.AM-02,ID,Inventories of Software,"Software assets are inventoried and managed"
ID.AM-03,ID,Inventories of Services,"Services are inventoried and managed"
ID.AM-04,ID,Inventories of Data,"Data flows and data processing are inventoried and managed"
ID.AM-05,ID,Inventories of Personnel,"Personnel roles and responsibilities for cybersecurity are established"
ID.AM-06,ID,Inventories of External Systems,"External systems are inventoried and managed"
ID.RA-01,ID,Vulnerability Identification,"Vulnerabilities in assets are identified and documented"
ID.RA-02,ID,Cyber Threat Intelligence,"Threat intelligence is received and analyzed"
ID.RA-03,ID,Risk Assessment,"Cybersecurity risk assessments are performed and documented"
ID.RA-04,ID,Impact Assessment,"Potential impacts of cybersecurity events are assessed"
ID.RA-05,ID,Risk Monitoring,"Cybersecurity risk is monitored and communicated"
ID.RA-06,ID,Improvement,"Risk management improvements are identified and implemented"
ID.RA-07,ID,Supply Chain Risk Assessment,"Supply chain cybersecurity risks are assessed"
ID.IM-01,ID,Improvement Plan,"Improvement plans are established and tracked"
PR.AA-01,PR,Identity Management,"Identities and credentials are issued and managed"
PR.AA-02,PR,Authentication,"Users and devices are authenticated"
PR.AA-03,PR,Access Control,"Access permissions are managed"
PR.AA-04,PR,Authorization,"Access authorizations are managed"
PR.AA-05,PR,Physical Access,"Physical access to assets is managed"
PR.AA-06,PR,Remote Access,"Remote access is managed"
PR.AT-01,PR,Awareness Training,"Personnel receive cybersecurity awareness training"
PR.AT-02,PR,Role-Based Training,"Personnel in cybersecurity-related roles receive specialized training"
PR.DS-01,PR,Data Protection,"Data is protected from unauthorized access"
PR.DS-02,PR,Data Integrity,"Data integrity is protected"
PR.DS-03,PR,Data Backups,"Data backups are maintained and tested"
PR.DS-04,PR,Data Disposal,"Data is disposed of securely"
PR.DS-05,PR,Data Leak Prevention,"Data leakage is prevented"
PR.DS-06,PR,Encryption,"Encryption is used to protect data"
PR.DS-07,PR,Privacy,"Privacy is protected"
PR.DS-08,PR,Secure Configuration,"Assets are configured securely"
PR.DS-09,PR,Patch Management,"Patches are applied in a timely manner"
PR.DS-10,PR,Media Protection,"Media is protected"
PR.DS-11,PR,Separation of Duties,"Separation of duties is enforced"
PR.DS-12,PR,Least Privilege,"Least privilege is enforced"
PR.DS-13,PR,Data Classification,"Data is classified and labeled"
PR.IR-01,PR,Record Keeping,"Records of cybersecurity activities are maintained"
PR.IR-02,PR,Maintenance,"Maintenance is performed and documented"
PR.IR-03,PR,Secure Development,"Secure development practices are followed"
DE.CM-01,DE,Continuous Monitoring,"Networks and assets are continuously monitored"
DE.CM-02,DE,Event Detection,"Events are detected and analyzed"
DE.CM-03,DE,Adverse Events,"Adverse events are reported and analyzed"
DE.CM-04,DE,Threat Hunting,"Threat hunting is performed"
DE.CM-05,DE,Vulnerability Monitoring,"Vulnerabilities are monitored"
DE.CM-06,DE,External Monitoring,"External sources are monitored for threats"
DE.CM-07,DE,Monitoring Coverage,"Monitoring coverage is reviewed and improved"
DE.CM-08,DE,Log Analysis,"Logs are collected and analyzed"
DE.CM-09,DE,Anomaly Detection,"Anomalies are detected and analyzed"
DE.AE-01,DE,Event Analysis,"Events are analyzed to determine if they are incidents"
DE.AE-02,DE,Incident Detection,"Incidents are detected and characterized"
DE.AE-03,DE,Event Correlation,"Events are correlated across sources"
DE.AE-04,DE,Impact Assessment,"Impact of events is assessed"
DE.AE-05,DE,Alert Triage,"Alerts are triaged and escalated"
DE.AE-06,DE,Incident Reporting,"Incidents are reported to appropriate personnel"
DE.AE-07,DE,Incident Documentation,"Incident information is documented"
DE.AE-08,DE,Incident Analysis,"Incidents are analyzed to identify root cause"
RS.MA-01,RS,Incident Response Plan,"Incident response plan is established and tested"
RS.MA-02,RS,Incident Response Execution,"Incidents are responded to according to plan"
RS.MA-03,RS,Incident Reporting,"Incidents are reported to external organizations"
RS.MA-04,RS,Incident Information Sharing,"Incident information is shared with peers"
RS.MA-05,RS,Incident Response Training,"Personnel are trained on incident response"
RS.MA-06,RS,Incident Response Resources,"Resources are allocated for incident response"
RS.AN-01,RS,Incident Analysis,"Incidents are analyzed to determine scope"
RS.AN-02,RS,Incident Tracking,"Incidents are tracked and documented"
RS.AN-03,RS,Incident Communication,"Incident information is communicated to stakeholders"
RS.AN-04,RS,Incident Containment,"Incidents are contained to limit impact"
RS.AN-05,RS,Incident Eradication,"Incidents are eradicated"
RS.MI-01,RS,Mitigation,"Mitigation measures are implemented"
RS.MI-02,RS,Mitigation Effectiveness,"Mitigation effectiveness is assessed"
RS.CO-01,RS,Communication,"Communication with stakeholders is maintained"
RS.CO-02,RS,Coordination,"Incident response is coordinated with internal teams"
RS.CO-03,RS,External Coordination,"Incident response is coordinated with external organizations"
RS.RP-01,RS,Recovery Planning,"Recovery plans are established and tested"
RS.RP-02,RS,Recovery Execution,"Recovery is executed according to plan"
RS.RP-03,RS,Recovery Validation,"Recovery is validated"
RC.RP-01,RC,Recovery Plan Execution,"Recovery plans are executed"
RC.RP-02,RC,Recovery Communications,"Recovery status is communicated"
RC.RP-03,RC,Recovery Validation,"Recovery is validated and confirmed"
RC.RP-04,RC,Recovery Improvement,"Recovery plans are improved based on lessons learned"
RC.CO-01,RC,Public Communications,"Public communications are managed"
RC.CO-02,RC,Stakeholder Communications,"Stakeholder communications are managed"
