controlId,subDomainId,confidence
GV.OC-01,D-09.1,0.9
GV.OC-02,D-09.1,0.9
GV.RM-01,D-09.2,0.9
GV.RM-02,D-09.2,0.9
GV.RM-03,D-09.1,0.9
GV.RM-04,D-09.1,0.9
GV.RM-04,D-09.4,0.9
GV.RM-05,D-09.1,0.9
GV.RM-06,D-09.1,0.9
GV.RM-07,D-09.1,0.9
GV.RM-07,D-10.3,0.9
GV.RM-08,D-09.1,0.9
GV.SC-01,D-06.1,0.9
GV.SC-01,D-06.2,0.9
GV.SC-02,D-06.1,0.9
GV.SC-02,D-06.2,0.9
GV.SC-03,D-06.3,0.9
GV.SC-04,D-06.1,0.9
GV.AM-01,D-09.1,0.9
ID.AM-01,D-09.1,0.9
ID.AM-01,D-10.2,0.9
ID.AM-02,D-09.1,0.9
ID.AM-02,D-10.2,0.9
ID.AM-03,D-09.1,0.9
ID.AM-04,D-09.1,0.9
ID.AM-04,D-05.1,0.9
ID.AM-05,D-09.1,0.9
ID.AM-06,D-06.1,0.9
ID.RA-01,D-02.1,0.9
ID.RA-01,D-02.2,0.9
ID.RA-02,D-02.1,0.9
ID.RA-02,D-10.1,0.9
ID.RA-03,D-09.2,0.9
ID.RA-04,D-09.2,0.9
ID.RA-05,D-09.2,0.9
ID.RA-05,D-10.3,0.9
ID.RA-06,D-09.2,0.9
ID.RA-07,D-06.1,0.9
ID.IM-01,D-09.1,0.9
PR.AA-01,D-03.1,0.9
PR.AA-01,D-03.2,0.9
PR.AA-02,D-03.1,0.9
PR.AA-02,D-03.2,0.9
PR.AA-03,D-03.1,0.9
PR.AA-03,D-03.3,0.9
PR.AA-04,D-03.1,0.9
PR.AA-04,D-03.3,0.9
PR.AA-05,D-03.4,0.9
PR.AA-06,D-03.1,0.9
PR.AT-01,D-08.1,0.9
PR.AT-01,D-08.2,0.9
PR.AT-02,D-08.2,0.9
PR.DS-01,D-01.1,0.9
PR.DS-01,D-01.2,0.9
PR.DS-02,D-01.4,0.9
PR.DS-03,D-01.1,0.9
PR.DS-03,D-01.4,0.9
PR.DS-04,D-05.3,0.9
PR.DS-05,D-01.2,0.9
PR.DS-06,D-01.1,0.9
PR.DS-06,D-01.2,0.9
PR.DS-07,D-01.1,0.9
PR.DS-07,D-05.1,0.9
PR.DS-08,D-03.4,0.9
PR.DS-09,D-02.2,0.9
PR.DS-10,D-01.1,0.9
PR.DS-11,D-03.3,0.9
PR.DS-12,D-03.3,0.9
PR.DS-13,D-05.2,0.9
PR.IR-01,D-09.4,0.9
PR.IR-02,D-02.2,0.9
PR.IR-03,D-07.1,0.9
DE.CM-01,D-10.1,0.9
DE.CM-01,D-10.2,0.9
DE.CM-02,D-10.1,0.9
DE.CM-03,D-04.1,0.9
DE.CM-03,D-10.1,0.9
DE.CM-04,D-02.1,0.9
DE.CM-04,D-10.1,0.9
DE.CM-05,D-02.1,0.9
DE.CM-06,D-10.1,0.9
DE.CM-07,D-10.3,0.9
DE.CM-08,D-10.2,0.9
DE.CM-09,D-10.1,0.9
DE.AE-01,D-04.1,0.9
DE.AE-02,D-04.1,0.9
DE.AE-02,D-10.1,0.9
DE.AE-03,D-10.1,0.9
DE.AE-04,D-04.1,0.9
DE.AE-05,D-04.1,0.9
DE.AE-06,D-04.1,0.9
DE.AE-06,D-04.2,0.9
DE.AE-07,D-04.2,0.9
DE.AE-08,D-04.1,0.9
RS.MA-01,D-04.1,0.9
RS.MA-01,D-04.2,0.9
RS.MA-02,D-04.1,0.9
RS.MA-03,D-04.3,0.9
RS.MA-04,D-04.3,0.9
RS.MA-05,D-04.1,0.9
RS.MA-06,D-04.1,0.9
RS.AN-01,D-04.1,0.9
RS.AN-02,D-04.2,0.9
RS.AN-03,D-04.3,0.9
RS.AN-04,D-04.1,0.9
RS.AN-05,D-04.1,0.9
RS.MI-01,D-04.1,0.9
RS.MI-02,D-04.1,0.9
RS.CO-01,D-04.3,0.9
RS.CO-02,D-04.1,0.9
RS.CO-03,D-04.3,0.9
RS.RP-01,D-04.2,0.9
RS.RP-02,D-04.2,0.9
RS.RP-03,D-04.2,0.9
RC.RP-01,D-04.2,0.9
RC.RP-02,D-04.3,0.9
RC.RP-03,D-04.2,0.9
RC.RP-04,D-04.4,0.9
RC.CO-01,D-04.3,0.9
RC.CO-02,D-04.3,0.9
RC.CO-03,D-04.3,0.9
RC.RM-01,D-09.4,0.9
RC.RM-01,D-10.2,0.9
RC.RM-02,D-04.4,0.9
